crash_date,collision_count
2021-01-01,7719
2021-02-01,6976
2021-03-01,8262
2021-04-01,8754
2021-05-01,10290
2021-06-01,10611
2021-07-01,10003
2021-08-01,9880
2021-09-01,9898
2021-10-01,10205
2021-11-01,9377
2021-12-01,8583
2022-01-01,7915
2022-02-01,7391
2022-03-01,8860
2022-04-01,8550
2022-05-01,9464
2022-06-01,9478
2022-07-01,8885
2022-08-01,8923
2022-09-01,8884
2022-10-01,8960
2022-11-01,8184
2022-12-01,8393
2023-01-01,7464
2023-02-01,6884
2023-03-01,8180
2023-04-01,7772
2023-05-01,8995
2023-06-01,8191
2023-07-01,8243
2023-08-01,8014
2023-09-01,8293
2023-10-01,8717
2023-11-01,7860
2023-12-01,7994
2024-01-01,7542
2024-02-01,6841
2024-03-01,7861
2024-04-01,7161
2024-05-01,8195
2024-06-01,7967
2024-07-01,7496
2024-08-01,7640
2024-09-01,7842
2024-10-01,7796
2024-11-01,7364
2024-12-01,7610
2025-01-01,6482
2025-02-01,5988
2025-03-01,7037
2025-04-01,6924
2025-05-01,7633
2025-06-01,7483
2025-07-01,7409
2025-08-01,6989
2025-09-01,7537
2025-10-01,7537
2025-11-01,7148
2025-12-01,7376
2026-01-01,6773
2026-02-01,6485
2026-03-01,6752
2026-04-01,5115
